c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,c_cs
488.1,37.9,3.14,654.9,2.75,976.1,2.51,209.9,0.42,0,60,1.11,7,2.452,38.71
488.1,37.9,3.14,622,2.75,976.1,2.51,209.9,0.42,8.8,60,1.11,6,2.424,42.14
488.1,37.9,3.14,589.4,2.75,976.1,2.51,209.9,0.42,17.6,60,1.11,5,2.407,39.71
488.1,37.9,3.14,556.6,2.75,976.1,2.51,209.9,0.42,26.4,60,1.11,4,2.384,36.73
379.6,37.9,3.14,745.9,2.75,976.1,2.51,210.2,0.54,0,60,1.11,8,2.413,31.58
379.6,37.9,3.14,708.6,2.75,976.1,2.51,210.2,0.54,10,60,1.11,7,2.396,35.36
379.6,37.9,3.14,671.3,2.75,976.1,2.51,210.2,0.54,20,60,1.11,5,2.368,31.76
379.6,37.9,3.14,634,2.75,976.1,2.51,210.2,0.54,30,60,1.11,5,2.337,28.91
382,39.2,3.13,686,2.57,872,2.7,188,0.6,0,58,1.3,8,2.41,20
382,39.2,3.13,618,2.57,872,2.7,194,0.6,36,58,1.3,5,2.382,18
382,39.2,3.13,549,2.57,872,2.7,198,0.6,73,58,1.3,2,2.36,12
382,39.2,3.13,649,2.57,824,2.7,204,0.5,0,58,1.3,9,2.36,27
382,39.2,3.13,584,2.57,824,2.7,208,0.5,34,58,1.3,7,2.32,22
382,39.2,3.13,519,2.57,824,2.7,212,0.5,69,58,1.3,5,2.31,17.5
350,42.5,3.14,802.7,2.61,996.4,2.67,185.5,0.53,0,59,1.32,13,2.387,41.5
350,42.5,3.14,788.4,2.61,920.4,2.67,213,0.61,45.9,59,1.32,12,2.326,32
350,42.5,3.14,774.1,2.61,844.5,2.67,227.5,0.65,91.7,59,1.32,12,2.277,22
350,42.5,3.14,759.9,2.61,768.5,2.67,259,0.74,137.5,59,1.32,13,2.223,12
350,42.5,3.14,713.3,2.61,996.4,2.67,199.5,0.57,45.9,59,1.32,12,2.336,31.5
350,42.5,3.14,624,2.61,996.4,2.67,210,0.6,91.7,59,1.32,12,2.29,25
350,42.5,3.14,534.6,2.61,996.4,2.67,224,0.64,137.5,59,1.32,12,2.243,22.5
350,42.5,3.14,713.3,2.61,996.4,2.67,185.5,0.53,45.9,59,1.32,12,2.347,31.5
350,42.5,3.14,624,2.61,996.4,2.67,182,0.52,91.7,59,1.32,12,2.297,31
350,42.5,3.14,534.6,2.61,996.4,2.67,182,0.52,137.5,59,1.32,13,2.554,28
350,44.8,3.12,619,2.63,1246,2.73,177,0.51,0,60,0.92,10,2.309,40
350,44.8,3.12,597.1,2.63,1246,2.73,177,0.51,8.8,170,0.92,12,2.255,38
350,44.8,3.12,575.1,2.63,1246,2.73,177,0.51,17.5,170,0.92,16,2.239,33
350,44.8,3.12,553.2,2.63,1246,2.73,177,0.51,26.3,45,0.92,23,2.214,32
350.00,44.8,3.12,531.2,2.63,1246.0,2.73,177.0,0.51,35.0,45,0.92,30,2.161,30.00
350.00,44.8,3.12,619.0,2.63,1246.0,2.73,177.0,0.51,0.0,60,0.92,10,2.309,40.00
350.00,44.8,3.12,597.1,2.63,1246.0,2.73,177.0,0.51,8.8,170,0.94,14,2.208,28.00
350.00,44.8,3.12,575.1,2.63,1246.0,2.73,177.0,0.51,17.5,170,0.94,17,2.148,24.00
350.00,44.8,3.12,553.2,2.63,1246.0,2.73,177.0,0.51,26.3,45,0.94,25,2.022,20.00
350.00,44.8,3.12,531.2,2.63,1246.0,2.73,177.0,0.51,35.0,45,0.94,30,2.005,18.00
461.50,42.9,3.15,534.2,2.43,1024.0,2.33,193.8,0.42,0.0,124,1.58,1,2.150,33.50
461.50,42.9,3.15,534.2,2.43,819.2,2.33,193.8,0.42,138.9,124,1.58,1,2.060,30.50
461.50,42.9,3.15,534.2,2.43,716.8,2.33,193.8,0.42,208.3,124,1.58,2,2.080,27.00
461.50,42.9,3.15,534.2,2.43,614.4,2.33,193.8,0.42,277.8,124,1.58,2,2.080,26.00
461.50,42.9,3.15,534.2,2.43,512.0,2.33,193.8,0.42,347.2,124,1.58,2,1.980,20.50
449.00,42.9,3.15,519.8,2.43,996.4,2.33,215.5,0.48,0.0,124,1.58,3,2.150,32.50
449.00,42.9,3.15,519.8,2.43,797.1,2.33,215.5,0.48,135.1,124,1.58,3,2.050,28.00
449.00,42.9,3.15,519.8,2.43,697.5,2.33,215.5,0.48,202.7,124,1.58,3,2.000,27.00
449.00,42.9,3.15,519.8,2.43,597.8,2.33,215.5,0.48,270.3,124,1.58,4,2.000,25.00
449.00,42.9,3.15,519.8,2.43,498.2,2.33,215.5,0.48,337.8,124,1.58,4,1.960,19.00
431.60,42.9,3.15,499.6,2.43,957.7,2.33,246.0,0.57,0.0,124,1.58,8,2.150,32.00
431.60,42.9,3.15,499.6,2.43,766.2,2.33,246.0,0.57,129.9,124,1.58,9,2.000,25.00
431.60,42.9,3.15,499.6,2.43,670.4,2.33,246.0,0.57,194.8,124,1.58,10,1.920,24.50
431.60,42.9,3.15,499.6,2.43,574.6,2.33,246.0,0.57,259.8,124,1.58,13,1.950,23.50
431.60,42.9,3.15,499.6,2.43,478.8,2.33,246.0,0.57,324.7,124,1.58,16,1.910,16.50
370.00,42.5,3.13,600.0,2.63,1250.0,1.45,200.0,0.54,0.0,140,1.49,9,2.402,36.00
370.00,42.5,3.13,540.0,2.63,1250.0,1.45,200.0,0.54,60.0,140,1.49,8,2.251,35.00
370.00,42.5,3.13,480.0,2.63,1250.0,1.45,200.0,0.54,120.0,140,1.49,6,2.134,34.00
370.00,42.5,3.13,420.0,2.63,1250.0,1.45,200.0,0.54,180.0,140,1.49,6,1.933,24.00
370.00,42.5,3.13,360.0,2.63,1250.0,1.45,200.0,0.54,240.0,140,1.49,2,1.784,14.00
370.00,42.5,3.13,300.0,2.63,1250.0,1.45,200.0,0.54,300.0,140,1.49,1,1.642,10.00
455.40,39.5,3.14,569.3,2.69,1138.5,2.72,236.8,0.52,0.0,50,1.30,17,2.447,42.00
455.40,39.5,3.14,540.8,2.69,1138.5,2.72,236.8,0.52,12.0,50,1.30,17,2.410,39.50
455.40,39.5,3.14,483.9,2.69,1138.5,2.72,236.8,0.52,36.7,50,1.30,17,2.328,38.50
455.40,39.5,3.14,398.5,2.69,1138.5,2.72,236.8,0.52,73.4,50,1.30,17,2.389,32.00
455.40,39.5,3.14,313.1,2.69,1138.5,2.72,236.8,0.52,110.1,50,1.30,16,2.354,25.00
455.40,39.5,3.14,199.3,2.69,1138.5,2.72,236.8,0.52,159.1,50,1.30,4,2.320,22.00
455.40,39.5,3.14,85.4,2.69,1138.5,2.72,236.8,0.52,208.0,50,1.30,1,2.055,18.00
455.40,39.5,3.14,569.3,2.69,1081.6,2.72,236.8,0.52,25.7,50,1.30,17,2.432,47.00
455.40,39.5,3.14,569.3,2.69,967.7,2.72,236.8,0.52,77.0,50,1.30,17,2.389,40.00
455.40,39.5,3.14,569.3,2.69,797.0,2.72,236.8,0.52,154.0,50,1.30,16,2.335,38.00
455.40,39.5,3.14,569.3,2.69,626.2,2.72,236.8,0.52,230.9,50,1.30,5,2.210,21.00
455.40,39.5,3.14,569.3,2.69,398.5,2.72,236.8,0.52,336.0,50,1.30,3,2.050,17.00
455.40,39.5,3.14,569.3,2.69,170.8,2.72,236.8,0.52,436.2,50,1.30,2,1.695,7.50
260.00,42.5,3.14,680.0,2.42,1193.0,2.64,215.0,0.83,0.0,52,1.36,3,2.400,14.00
260.00,42.5,3.14,680.0,2.42,1180.0,2.64,215.0,0.83,12.2,52,1.36,3,2.390,13.80
260.00,42.5,3.14,680.0,2.42,1162.5,2.64,215.0,0.83,30.5,52,1.36,3,2.380,13.70
260.00,42.5,3.14,680.0,2.42,1132.4,2.64,215.0,0.83,61.0,52,1.36,3,2.340,13.00
260.00,42.5,3.14,680.0,2.42,1101.5,2.64,215.0,0.83,91.5,52,1.36,4,2.320,12.80
260.00,42.5,3.14,680.0,2.42,1071.0,2.64,215.0,0.83,122.0,52,1.36,5,2.310,12.40
260.00,42.5,3.14,680.0,2.42,1040.5,2.64,215.0,0.83,152.5,52,1.36,6,2.290,12.00
260.00,42.5,3.14,680.0,2.42,1162.5,2.64,205.3,0.79,30.5,52,1.36,3,2.320,12.00
260.00,42.5,3.14,680.0,2.42,1162.5,2.64,210.7,0.81,30.5,52,1.36,3,2.320,11.00
260.00,42.5,3.14,680.0,2.42,1162.5,2.64,219.3,0.84,30.5,52,1.36,3,2.320,10.00
260.00,42.5,3.14,680.0,2.42,1162.5,2.64,225.8,0.87,30.5,52,1.36,4,2.320,9.00
350.00,47.8,03.09,602.0,2.68,1170.0,2.62,168.0,0.48,0.0,50,1.40,4,2.420,35.00
350.00,47.8,03.09,452.0,2.68,945.0,2.63,168.0,0.48,203.0,50,1.40,3,2.200,27.00
350.00,47.8,03.09,301.0,2.68,720.0,2.64,168.0,0.48,405.0,50,1.40,3,1.950,21.00
350.00,47.8,03.09,150.0,2.68,495.0,2.65,168.0,0.48,609.0,50,1.40,3,1.750,12.00
350.00,47.8,03.09,452.0,2.68,945.0,2.63,168.0,0.48,125.0,35,0.87,3,2.200,26.00
350,47.8,03.09,301,2.68,720,2.64,168,0.48,250,35,0.88,3,1.85,17
350,47.8,03.09,150,2.68,495,2.65,168,0.48,375,35,0.88,2,1.2,6
350,47.8,03.09,452,2.68,945,2.63,168,0.48,137,30,0.95,3,2.2,19
350,47.8,03.09,301,2.68,720,2.64,168,0.48,273,30,0.96,2,1.75,11
350,47.8,03.09,150,2.68,495,2.65,168,0.48,410,30,0.96,2,1.4,8
400,32.5,3.12,470,2.6,270,2.44,195,0.48,0,54,1.42,4,2.403,32.84
400,32.5,3.12,329,2.6,270,2.44,195,0.48,221,54,1.43,7,2.27,27.77
400,32.5,3.12,235,2.6,270,2.44,195,0.48,368,54,1.43,8,2.139,23.81
400,32.5,3.12,141,2.6,270,2.44,195,0.48,515,54,1.43,8,1.862,17.72
380,42.5,3.14,715,2.57,1020,1.55,201.4,0.53,0,50,1.42,8,2.475,43
380,42.5,3.14,643,2.57,1020,1.55,201.4,0.53,71.5,50,1.42,2,2.35,32
380,42.5,3.14,607.8,2.57,1020,1.55,201.4,0.53,107.3,50,1.42,2,2.3,25
380,42.5,3.14,572,2.57,1020,1.55,201.4,0.53,143,50,1.42,0,2.27,24
340,43.6,3.14,799.2,2.65,1147.8,2.79,180,0.53,0,21,1.29,6,2.55,34
340,43.6,3.14,799.2,2.65,1033,2.79,180,0.53,53.1,21,1.29,5,2.53,26
340,43.6,3.14,799.2,2.65,919,2.79,180,0.53,106.1,21,1.29,5,2.42,24
340,43.6,3.14,799.2,2.65,803.7,2.79,180,0.53,159.1,21,1.29,4,2.32,18
340,43.6,3.14,799.2,2.65,688.3,2.79,180,0.53,212.5,21,1.29,4,2.25,17
340,43.6,3.14,799.2,2.65,572.9,2.79,180,0.53,264.9,21,1.29,3,2.2,15
367.34,43.6,3.14,789.1,2.65,1133.3,2.79,180,0.49,0,21,1.29,8,2.63,40
367.34,43.6,3.14,789.1,2.65,1020,2.79,180,0.49,52.4,21,1.29,7,2.55,37
367.34,43.6,3.14,789.1,2.65,907.4,2.79,180,0.49,104.8,21,1.29,6,2.45,34
367.34,43.6,3.14,789.1,2.65,793.5,2.79,180,0.49,157.1,21,1.29,5,2.35,28
367.34,43.6,3.14,789.1,2.65,679.6,2.79,180,0.49,209.8,21,1.29,4,2.32,24
367.34,43.6,3.14,789.1,2.65,565.7,2.79,180,0.49,261.6,21,1.29,4,2.1,22
400,43.6,3.14,777.9,2.65,1117.2,2.79,180,0.45,0,21,1.29,9,2.65,45
400,43.6,3.14,777.9,2.65,1005.5,2.79,180,0.45,51.7,21,1.29,8,2.62,42
400,43.6,3.14,777.9,2.65,894.6,2.79,180,0.45,103.3,21,1.29,7,2.48,40
400,43.6,3.14,777.9,2.65,782.2,2.79,180,0.45,154.9,21,1.29,6,2.45,35
400,43.6,3.14,777.9,2.65,669.9,2.79,180,0.45,206.8,21,1.29,5,2.38,28
400,43.6,3.14,777.9,2.65,557.6,2.79,180,0.45,257.8,21,1.29,4,2.3,24.5
456,35,3.13,639.7,2.55,1056.2,2.82,205,0.45,0,60,0.85,5,2.43,32
456,35,3.13,639.7,2.55,1003.4,2.82,205,0.45,20.3,60,0.85,4,2.36,36
456,35,3.13,639.7,2.55,950.6,2.82,205,0.45,40.5,60,0.85,4,2.34,32
456,35,3.13,639.7,2.55,897.8,2.82,205,0.45,60.7,60,0.85,3,2.29,28
456,35,3.13,639.7,2.55,932.4,2.43,205,0.45,0,60,0.85,8,2.26,29
456,35,3.13,639.7,2.55,847.7,2.43,205,0.45,20.3,60,0.85,7,2.24,32
456,35,3.13,639.7,2.55,803.1,2.43,205,0.45,40.5,60,0.85,6,2.21,28
456,35,3.13,639.7,2.55,758.5,2.43,205,0.45,60.7,60,0.85,5,2.2,26
446,42.5,3.12,585,2.42,961,2.62,252,0.56,0,52,1.32,8,2.32,34
446,42.5,3.12,555.7,2.42,961,2.62,252,0.56,17.8,52,1.32,7,2.307,26
446,42.5,3.12,526.5,2.42,961,2.62,252,0.56,35.5,52,1.32,7,2.856,22
446,42.5,3.12,497.2,2.42,961,2.62,252,0.56,53.2,52,1.32,6,2.693,17
446,42.5,3.12,468,2.42,961,2.62,252,0.56,71,52,1.32,6,2.495,9
383,45.8,3.14,971,2.58,896,2.55,230,0.6,0,40,0.98,2,2.25,40
383,45.8,3.14,929,2.58,679,2.55,230,0.6,179,40,0.98,3,2.2,32
383,45.8,3.14,903,2.58,486,2.55,230,0.6,347,40,0.98,4,2,22
383,45.8,3.14,882,2.58,305,2.55,230,0.6,509,40,0.98,12,1.85,8
340,39.2,2.9,539.3,2.37,1251.2,2.58,153,0.45,0,37,0.85,7,2.35,25
340,39.2,2.9,539.3,2.37,1126,2.58,153,0.45,40.5,37,0.85,8,2.3,28
340,39.2,2.9,539.3,2.37,1000.9,2.58,153,0.45,81,37,0.85,9,2.25,22
340,39.2,2.9,539.3,2.37,875.8,2.58,153,0.45,121.6,37,0.85,9,2.2,20
340,39.2,2.9,513.8,2.37,1192,2.58,187,0.55,0,37,0.85,12,2.35,14
340,39.2,2.9,513.8,2.37,1072.8,2.58,187,0.55,38.6,37,0.85,13,2.3,26
340,39.2,2.9,513.8,2.37,953.6,2.58,187,0.55,77.2,37,0.85,15,2.2,18
340,39.2,2.9,513.8,2.37,834,2.58,187,0.55,115.8,37,0.85,16,2.19,16
340,39.2,2.9,539.3,2.37,1102.6,2.3,153,0.45,0,37,0.85,4,2.18,24
340,39.2,2.9,539.3,2.37,992.6,2.3,153,0.45,40.5,37,0.85,5,2.15,26
340,39.2,2.9,539.3,2.37,882.3,2.3,153,0.45,81,37,0.85,6,2,18
340,39.2,2.9,539.3,2.37,771.8,2.3,153,0.45,121.6,37,0.85,7,1.8,16
340,39.2,2.9,513.8,2.37,1050.4,2.3,187,0.55,0,37,0.85,8,2.1,20
340,39.2,2.9,513.8,2.37,945.4,2.3,187,0.55,38.6,37,0.85,9,02.05,20
340,39.2,2.9,513.8,2.37,840.3,2.3,187,0.55,77.2,37,0.85,10,1.9,18
340,39.2,2.9,513.8,2.37,735.3,2.3,187,0.55,115.8,37,0.85,11,18,17
315,44,3.11,630,2.45,1260,2.55,173.3,0.55,0,150,1.23,3,2.35,31
315,44,3.11,567,2.45,1260,2.55,173.3,0.55,63,150,1.23,5,2.3,22.3
315,44,3.11,504,2.45,1260,2.55,173.3,0.55,126,150,1.23,6,2.2,22
315,44,3.11,441,2.45,1260,2.55,173.3,0.55,189,150,1.23,10,2.2,21.7
315,44,3.11,378,2.45,1260,2.55,173.3,0.55,252,150,1.23,11,2.18,20.7
315,44,3.11,0,2.45,1260,2.55,173.3,0.55,630,150,1.23,4,2.15,16.3
362,53,3.15,682.6,3.22,1184.4,2.6,162.9,0.45,0,40,1.38,12,2.5,37.8
362,53,3.15,648.5,3.22,1184.4,2.6,162.9,0.45,34.1,40,1.38,11,2.32,39.99
362,53,3.15,614.3,3.22,1184.4,2.6,162.9,0.45,68.3,40,1.38,7,2.36,38.25
362,53,3.15,580.2,3.22,1184.4,2.6,162.9,0.45,102.4,40,1.38,2,2.3,24.23
362,53,3.15,546.1,3.22,1184.4,2.6,162.9,0.45,136.5,40,1.38,0,2.26,19.55
362,53,3.15,512,3.22,1184.4,2.6,162.9,0.45,170.7,40,1.38,0,2.22,14.02
362,53,3.15,682.6,3.22,1184.4,2.6,162.9,0.45,0,37,0.91,12,2.5,37.8
362,53,3.15,648.5,3.22,1184.4,2.6,162.9,0.45,34.1,37,0.91,11,2.32,34
362,53,3.15,614.3,3.22,1184.4,2.6,162.9,0.45,68.3,37,0.91,7,2.36,28.05
362,53,3.15,580.2,3.22,1184.4,2.6,162.9,0.45,102.4,37,0.91,2,2.3,21.25
362,53,3.15,546.1,3.22,1184.4,2.6,162.9,0.45,136.5,37,0.91,0,2.26,17
362,53,3.15,512,3.22,1184.4,2.6,162.9,0.45,170.7,37,0.91,0,2.22,15.9
438,53,3.15,638,2.63,1115,2.71,197,0.45,0,800,0.93,10,2.321,38
438,53,3.15,638,2.63,1115,2.71,197,0.45,4.5,800,0.93,9,2.294,36
438,53,3.15,638,2.63,1115,2.71,197,0.45,9.2,800,0.93,9,2.268,34
438,53,3.15,638,2.63,1115,2.71,197,0.45,14,800,0.93,8,2.25,32
438,53,3.15,638,2.63,1115,2.71,197,0.45,18.5,800,0.93,8,2.236,30
438,53,3.15,638,2.63,1115,2.71,197,0.45,0,800,0.93,10,2.321,39
438,53,3.15,638,2.63,1115,2.71,197,0.45,4.5,800,0.93,9,2.294,35
438,53,3.15,638,2.63,1115,2.71,197,0.45,9.2,800,0.93,9,2.268,34
438,53,3.15,638,2.63,1115,2.71,197,0.45,14,800,0.93,8,2.25,32
438,53,3.15,638,2.63,1115,2.71,197,0.45,18.5,800,0.93,8,2.236,29
438,53,3.15,638,2.63,1115,2.71,197,0.45,0,800,0.93,10,2.321,38
438,53,3.15,638,2.63,1115,2.71,197,0.45,4.5,800,0.93,85,2.294,35
438,53,3.15,638,2.63,1115,2.71,197,0.45,9.2,800,0.93,82,2.268,33
438,53,3.15,638,2.63,1115,2.71,197,0.45,14,800,0.93,80,2.25,31
438,53,3.15,638,2.63,1115,2.71,197,0.45,18.5,800,0.93,75,2.236,28
444.75,50.2,3.15,667,2.56,1334,2.53,191.3,0.43,0,40,1.38,16,2.36,35
444.75,50.2,3.15,633.7,2.56,1334,2.53,191.3,0.43,33.4,40,1.38,14,2.35,47
444.75,50.2,3.15,617,2.56,1334,2.53,191.3,0.43,50,40,1.38,13,2.3,50
444.75,50.2,3.15,300.3,2.56,1334,2.53,191.3,0.43,67.7,40,1.38,12,2.29,45
444.75,50.2,3.15,583.6,2.56,1334,2.53,191.3,0.43,83.4,40,1.38,11,2.27,43
444.75,50.2,3.15,567,2.56,1334,2.53,191.3,0.43,100.1,40,1.38,9,2.24,35
444.75,50.2,3.15,533.6,2.56,1334,2.53,191.3,0.43,133.4,40,1.38,7,2.2,33
300,48,3.2,500,2.61,1600,2.82,135,0.45,0,60,1.32,10,2.29,68
300,48,3.2,475,2.61,1600,2.82,135,0.45,25,60,1.32,9,2.26,67.5
300,48,3.2,550,2.61,1550,2.82,165,0.55,0,60,1.32,9,2.33,41.5
300,48,3.2,522.5,2.61,1550,2.82,165,0.55,27.5,60,1.32,8,2.3,40.7
400,48,3.2,420,2.61,1500,2.82,180,0.45,0,60,1.32,7,2.4,70.05
400,48,3.2,309,2.61,1500,2.82,180,0.45,21,60,1.32,6,2.35,69.7
400,48,3.2,480,2.61,1440,2.82,220,0.55,0,60,1.32,5,2.4,44
400,48,3.2,456,2.61,1440,2.82,220,0.55,24,60,1.32,4,2.35,43.2
420,42.5,3.15,914.7,2.55,1152,2.67,413,0.7,3.3,40,1.38,10,2.35,20
420,42.5,3.15,909.8,2.55,1152,2.67,413,0.7,8.2,40,1.38,9,2.24,20.5
420,42.5,3.15,301.6,2.55,1152,2.67,413,0.7,16.3,40,1.38,8,2.32,21
295,43,3.14,885,2.54,1085,2.63,163,0.55,0,40,1.38,10,2.372,26.69
295,43,3.14,885,2.54,1085,2.63,163,0.55,1.3,40,1.38,9,2.343,22.8
295,43,3.14,885,2.54,1085,2.63,163,0.55,2.6,40,1.38,8,2.322,20.37
295,43,3.14,885,2.54,1085,2.63,163,0.55,4,40,1.38,7,2.231,15.2
336,42.5,3.15,844,2.6,930,2.69,178,0.53,0,45,1.39,12,2.5,29
336,42.5,3.15,665,2.6,885,2.69,178,0.53,119,45,1.39,11,2.42,27
336,42.5,3.15,465,2.6,840,2.69,178,0.53,249,45,1.39,9,2.4,25
336,42.5,3.15,246,2.6,786,2.69,178,0.53,394,45,1.39,8,2.38,20
367,42.5,3.15,805,2.6,939,2.69,180,0.49,0,45,1.39,10,2.39,32
367,42.5,3.15,636,2.6,895,2.69,180,0.49,113,45,1.39,9,2.38,30
367,42.5,3.15,445,2.6,850,2.69,180,0.49,238,45,1.39,8,2.37,26
367,42.5,3.15,235,2.6,797,2.69,180,0.49,378,45,1.39,7,2.36,22
402,42.5,3.15,771,2.6,941,2.69,181,0.45,0,45,1.39,8,2.4,37
402,42.5,3.15,604,2.6,906,2.69,181,0.45,108,45,1.39,7,2.39,33
402,42.5,3.15,428,2.6,854,2.69,181,0.45,229,45,1.39,6,2.38,30
402,42.5,3.15,226,2.6,802,2.69,181,0.45,363,45,1.39,5,2.37,25
327.2,45,3.15,905.6,2.64,877.2,2.84,229.5,0.7,0,40,1.23,11,2.5,32
327.2,45,3.15,905.6,2.64,789.5,2.84,229.5,0.7,39.5,40,1.23,11,2.48,29.2
327.2,45,3.15,905.6,2.64,701.8,2.84,229.5,0.7,79,40,1.23,8,2.46,24.2
327.2,45,3.15,905.6,2.64,789.5,2.84,229.5,0.7,30.9,30,0.96,12,2.48,25.7
327.2,45,3.15,905.6,2.64,701.8,2.84,229.5,0.7,61.7,30,0.96,11,2.46,19.9
327.2,45,3.15,905.6,2.64,614,2.84,229.5,0.7,92.5,30,0.96,10,2.45,19.2
327.2,45,3.15,905.6,2.64,789.5,2.84,229.5,0.7,29.2,35,0.91,12,2.47,26.3
327.2,45,3.15,905.6,2.64,701.8,2.84,229.5,0.7,58.5,35,0.91,12,2.46,20
327.2,45,3.15,905.6,2.64,614,2.84,229.5,0.7,87.7,35,0.91,9,2.44,18.4
350,42.5,3.14,802.7,2.64,996.4,2.61,185.5,0.53,0,40,1.34,10,2.4,43.07
350,42.5,3.14,788.4,2.64,920.4,2.61,213.5,0.61,45.9,40,1.34,9,2.32,31.34
350,42.5,3.14,774.1,2.64,844.5,2.61,227.5,0.65,91.7,40,1.33,9,2.22,36.11
350,42.5,3.14,759.8,2.64,768.5,2.61,259,0.74,137.5,40,1.33,8,2.15,37.82
350,42.5,3.14,713.3,2.64,996.4,2.61,199.5,0.57,45.9,40,1.33,9,2.35,22.42
350,42.5,3.14,624,2.64,996.4,2.61,210,0.6,91.7,40,1.33,8,2.3,30.79
350,42.5,3.14,534.6,2.64,996.4,2.61,224,0.64,137.5,40,1.32,8,2.23,36.86
350,42.5,3.14,713.3,2.64,996.4,2.61,185.5,0.53,45.9,40,1.32,8,2.36,15.1
350,42.5,3.14,624,2.64,996.4,2.61,182,0.52,91.7,40,1.31,8,2.35,25.33
350,42.5,3.14,534.6,2.64,996.4,2.61,182,0.52,137.5,40,1.31,7,2.3,33.41
350,42.5,3.14,801,2.6,1003.1,2.73,189,0.53,0,30,1.32,4,2.36,37
350,42.5,3.14,750.4,2.6,855,2.73,213.5,0.61,61.4,30,1.32,3,2.22,24
350,42.5,3.14,668.4,2.6,1008.3,2.73,185.5,0.53,66.9,30,1.31,3,2.3,27
350,42.5,3.14,537.4,2.6,1018.6,2.73,178.5,0.51,135.1,30,1.31,2,2.25,34.5
350,42.5,3.14,660,2.6,992.7,2.73,196,0.56,64.2,30,1.28,3,2.23,29.5
350,42.5,3.14,516.7,2.6,972.1,2.73,210,0.6,125.7,30,1.28,2,02.09,24
300,42.5,03.05,977,2.58,732,2.68,180,0.6,0,40,1.32,10,2.57,31.5
300,42.5,03.05,977,2.58,538,2.68,180,0.6,99,40,1.32,9,2.504,15
300,42.5,03.05,783,2.58,469,2.68,180,0.6,163,40,1.32,9,2.35,12
300,42.5,03.05,783,2.58,112,2.68,180,0.6,246,40,1.32,8,2.222,6
495.12,50,3.15,649.9,2.6,1024,2.68,201.4,0.41,0,32,1.3,20,2.374,37.9
495.12,50,3.15,633.4,2.6,1024,2.68,201.4,0.41,16.2,32,1.3,19,2.374,38.9
495.12,50,3.15,617.2,2.6,1024,2.68,201.4,0.41,32.5,32,1.3,18,2.374,49.3
495.12,50,3.15,584.7,2.6,1024,2.68,201.4,0.41,65,32,1.3,17,2.374,36.7
360,53,3.15,696,2.73,1164,2.71,180,0.5,0,29,2.14,7,2.66,33.4
360,53,3.15,624,2.73,1164,2.71,180,0.5,27.5,29,2.14,10,2.51,32.5
360,53,3.15,592,2.73,1164,2.71,180,0.5,41,29,2.14,11,2.43,30.4
360,53,3.15,557,2.73,1164,2.71,180,0.5,55,29,2.14,12,2.29,28.9
400,32.5,3.14,467,2.56,1340,2.64,190,0.48,0,30,0.87,6,2.36,28
400,32.5,3.14,420.3,2.56,1340,2.64,190,0.48,16.3,30,0.87,6,2.34,24
400,32.5,3.14,373.6,2.56,1340,2.64,190,0.48,32.5,30,0.87,7,2.28,20
400,32.5,3.14,326.9,2.56,1340,2.64,190,0.48,48.8,30,0.87,8,2.15,18
400,32.5,3.14,280.2,2.56,1340,2.64,190,0.48,65,30,0.87,11,02.07,17